Year,Fm_Gen_Abund_Ind,Fm_Gen_2_5CI,Fm_Gen_97_5CI,Fm_Spec_Abund_Ind,Fm_Spec_2_5CI,Fm_Spec_97_5CI,Wood_Gen_Abund_Ind,Wood_Gen_2_5CI,Wood_Gen_97_5CI,Wood_Spec_Abund_Ind,Wood_Spec_2_5CI,Wood_Spec_97_5CI,Wet_Abund_Ind,Wet_2_5CI,Wet_97_5CI
2005,102.4124291,85.9878019,125.0845507,36.50395591,31.1051482,41.05489181,103.0167887,95.94593117,111.6320701,59.47251055,51.88570056,65.92825209,98.39587673,85.28472863,111.3243566
2006,101.3976532,85.05517208,124.1889696,35.68435212,30.3714828,40.18956691,104.158991,96.90356201,112.9144935,59.23997799,51.51379232,65.77375191,97.77684076,84.41083753,111.3189661
2007,99.55703634,83.88448227,122.1454816,34.86144525,29.4236292,39.27663977,105.0336941,97.73033519,114.1171931,59.27137322,51.45201411,66.05281042,97.6486197,84.17456594,111.6098449
2008,97.37093171,81.99590769,120.0608597,34.24576108,28.79277207,38.54331387,105.0599635,97.85270999,114.4957284,59.53515604,51.77047631,66.36617766,96.86607413,83.17152037,110.9292551
2009,95.07263305,79.52603827,117.8820967,33.7300597,28.31582384,37.99603833,104.3403949,97.42161638,113.8765001,60.14092307,52.43090568,66.76292848,95.02880712,81.64435798,108.7972061
2010,93.22817311,77.58324501,116.1823919,33.1267762,27.79284669,37.30010011,103.5072136,96.86171286,112.9938496,61.47329596,53.69915873,68.21983596,92.47919632,79.29429756,105.5597985
2011,91.94868721,76.39714648,114.660238,32.36919657,27.20235678,36.45901753,102.6442788,95.87533359,111.5213766,62.57899966,54.38675589,69.44380642,89.45714597,76.70596931,103.2802767
2012,90.79322529,75.57880191,112.8605331,31.51165402,26.46690691,35.33962863,102.1346647,95.52812811,110.6264184,62.64654694,54.19402634,69.91947193,87.39957227,75.02629922,101.4655907
2013,89.2569501,74.94287547,110.9262339,30.77207765,25.98775935,34.67137213,102.3778348,95.75032344,110.8063269,61.81715313,53.25738649,69.35035561,87.09547914,75.22477302,100.6742699
2014,87.99231542,73.81710101,109.5311523,30.3674422,25.71223046,34.25794394,103.908662,96.56573026,112.3015703,60.80454454,52.51951176,68.28310814,88.43758161,75.9542951,101.3781747
2015,86.8847574,72.65699572,108.1786485,30.17183083,25.62925556,34.2308515,105.3118705,98.17888551,113.8087767,59.47013321,51.1998253,66.60917279,90.27719934,77.49025893,102.7772434
2016,85.44828214,71.48206476,106.2995017,29.97766757,25.44421184,34.13257473,105.6199731,98.9395543,114.3971938,57.80824471,49.86235246,64.3566273,91.19411191,77.65401736,104.0290321
2017,84.01479318,70.57405147,104.4553848,29.82351144,24.99090999,33.80715414,104.8636533,98.36438565,113.9303514,56.19745141,48.46045331,62.4929755,90.37512487,76.9888002,103.4157856
2018,82.75960959,69.67749515,102.6339035,29.5636549,24.93919185,33.48485415,103.5427029,96.89091505,112.4410856,54.87218788,47.11325248,61.32041944,88.02143678,74.93555739,100.5798747
2019,81.56158052,68.14951471,101.4218707,29.22949722,24.64317636,32.9255258,102.4685231,95.91446829,111.3843766,53.69345751,45.71734263,60.22408298,85.26949286,71.76417541,97.74083102
